bird  chim  N 9.2
bird  chim_sẻ N	7.2
family		người_thân		N	6.9
finger		ngón_tay		N	9.1
fish		con_cá			N	9.5
fish		người_cá		N	3.7
feet		bàn_chân		N	9.2
fig			quả_sung		N	8.2
figure		nhân_vật		N	6.9
figure		con_số			N	9.2
figure		hình_vẽ			N	8.7
flower		bông_hoa		N	9.1
flower		hoa_hồng		N	6.7
flower		cỏ_dại			N	4.8
force		sức_mạnh		N	8.2
force		quyền_lực		N	8.8
force		hiệu_lực		N	6.7
friend		bạn			N	9.5
friend		tình_thân		N	6.2
friend		tình_bạn		N	8.8
farm		trang_trại		N	9.1
farm		nông_trang		N	8.7
farm		nhà_xưởng		N	4.3
gold		vàng			N	9.6
gold		bạc			N	2.3
gold		trang_sức		N	5.6
grass		bãi_cỏ			N	9.2
ground		bãi_đất			N	9.2
ground		đống_cát		N	5.4
ground		bãi_cát			N	8.7
hair		tóc			N	9.4
hair		mi_mắt			N	5.1
hair		lông			N	7.6
hand		bàn_tay			N	8.7
group		nhóm			N	9.5
group		đồng_đội		N	4.9
group		đội			N	7.8
hat		cái_mũ			N	9.21
hat		áo_chống_nắng		N	2.5
hat		cái_nón			N	7.8
heart		trái_tim		N	9.7
heart		yêu_thương		N	4.3
heart		tâm_thất		N	7.3		
history		lịch_sử			N	9.1
history		di_tích			N	7.6
history		quá_khứ			N	4.5
horse		con_ngựa		N	9.5
horse		cao_ngựa		N	5.0
house		căn_nhà			N	9.3
house		nhà_nghỉ		N	7.9
human		con_người		N	9.2
human		đàn_ông			N	6.9
ice		băng			N	8.5
ice		tuyết			N	9.4
ice		kem			N	8.9
idea		quan_điểm		N	7.99
idea		ý_kiến			N	9.3
industry	công_nghiệp		N	9.6
industry	thương_nghiệp		N	7.7
industry	nông_nghiệp		N	3.1	
insect		côn_trùng		N	9.3
insect		con_ong			N	7.6
insect		bò_sát			N	4.6
island		hòn_đảo			N	9.3
island		thung_lũng		N	0.8
island		vùng_đất		N	8.3
job		công_việc		N	9.2
job		nhiệm_vụ		N	5.3
job		việc_làm		N	8.9		
joy		niềm_vui		N	9.3
joy		hạnh_phúc		N	7.8
key		chìa_khóa		N	9.5
key		bí_mật			N	1.5
key		ổ_khóa			N	5.4
king		vua			N	9.8		
king		đế_vương		N	8.4
lady		quý_bà			N	9.7
lady		quý_cô			N	8.0
lady		phu_nhân		N	5.4
lake		hồ_nước			N	9.0
lake		thuyền			N	2.0
lake		ao_nước			N	5.9
language	ngôn_ngữ		N	9.7
language	văn_học			N	6.0
law		luật_pháp		N	9.6
law		luật_sư			N	4.8
law		quy_định		N	6.1
leg		cái_chân		N	9.6
leg		ống_quần		N	3.0
length		chiều_dài		N	9.2
light		ánh_sáng		N	9.4
light		ánh_đèn			N	7.9			
liquid		chất_lỏng		N	9.1
liquid		thể_lỏng		N	7.98
liquid		chất_rắn		N	2.0
list		danh_sách		N	9.3
list		mảng			N	7.9
machine		máy_móc			N	9.6
machine		động_cơ			N	7.6
magnet		nam_châm		N	9.2
magnet		lực_hút			N	7.0
magnet		lực_đẩy			N	5.1
map		bản_đồ			N	9.3
map		la_bàn			N	6.9
market		chợ			N	9.5
market		cửa_hàng		N	2.7
market		siêu_thị		N	7.89
master		thầy_giáo		N	9.1
master		học_viên		N	4.5
master		giáo_sư			N	7.8
match		đối_thủ			N	8.5
match		bao_diêm		N	9.4
match		hôn_nhân		N	7.9
meat		thịt			N	9.7
meat		thực_phẩm		N	7.1
metal		kim_loại		N	9.3
metal		sắt			N	8.0
method		phương_pháp		N	9.6	
method		công_thức		N	5.9
milk		sữa			N	9.8
milk		chất_lỏng		N	6.2
miss		cô_gái			N	9.5
miss		quý_cô			N	7.9
money		tiền			N	9.7
money		tiền_tệ			N	8.1
money		đồng_xu			N	4.6		
moon		mặt_trăng		N	9.0
moon		nguyệt_thực		N	7.4
moon		hình_bán_nguyệt		N	3.8
music		âm_nhạc			N	9.5
music		bài_hát			N	7.5
music		âm_thanh		N	5.2
nation		dân_tộc			N	9.0
nation		giống_nòi		N	8.0
noise		tiếng_ồn		N	8.3		
notice		thông_báo		N	9.2
notice		thông_tin		N	7.3
office		văn_phòng		N	9.0
office		nhân_viên		N	1.9
office		cơ_quan			N	8.0
page		trang_sách		N	9.1
page		tờ_giấy			N	3.9
page		tờ_báo			N	7.9
paper		giấy			N	9.7
paper		túi_giấy		N	6.9
party		bữa_tiệc		N	9.3
party		bữa_cơm			N	7.1
party		vũ_hội			N	6.3
person		con_người		N	9.4
person		loài_người		N	7.9
picture		bức_tranh		N	9.5
picture		tranh_vẽ		N	8.4
picture		khung_cảnh		N	4.2
piece		đồng_tiền		N	9.1
piece		tiền_giấy		N	7.1
plan		kế_hoạch		N	9.3
plan		bản_thống_kê		N	4.0
plan		bảng_biểu		N	7.9
play		trận_đấu		N	8.9
play		dối_thủ			N	3.2
play		đồng_đội		N	6.7
poem		bài_thơ			N	9.2
poem		thơ_lục_bát		N	2.2
poem		đoạn_thơ		N	6.0
port		bến_cảng		N	8.8
port		thành_phố_cảng		N	9.1
port		thuyền			N	3.4
post		lá_thứ			N	9.0
power		khả_năng		N	9.1
power		tài_năng		N	8.7
power		chính_quyền		N	7.9
process		quá_trình		N	9.7
process		phương_pháp		N	8.1
process		giai_đoạn		N	3.2
product		sản_phẩm		N	9.0
product		sản_lượng		N	2.0
product		nhà_sản_xuất		N	5.8
property	tài_sản			N	8.9
property	sản_nghiệp		N	7.4
property	vật_chất		N	4.4
question	câu_hỏi			N	9.2
question	bản_khai		N	3.1
rail		đường_ray		N	9.6
rail		tàu_hỏa			N	2.0
rail		đường_sắt		N	7.0
rain		mưa			N	9.5
rain		nước			N	3.5
rain		mây_đen			N	5.6
reason		lý_do			N	9.3		
reason		nguyên_nhân		N	8.2
record		bản_ghi			N	7.9
record		hồ_sơ			N	9.3			
record		đĩa_hát			N	8.2		
result		kết_quả			N	9.3
result		hậu_quả			N	7.3
ring		chiếc_nhẫn		N	9.5
ring		hôn_nhân		N	2.4
ring		vòng			N	8.2
river		con_sông		N	9.8
river		bờ_sông			N	3.4
river		con_suối		N	8.3
road		con_đường		N	9.4
road		kẹo_đường		N	0.9
road		đường_sắt		N	6.9
rose		hoa_hồng		N	9.5
rose		hoa_lan			N	3.1
rose		hồng_đỏ			N	8.0
rule		quy_tắc			N	9.5
rule		nội_quy			N	8.2 
rule		thước			N	7.9
science		khoa_học		N	9.2
science		công_nghệ		N	7.2
science		viễn_tưởng		N	3.9
score		bàn_thắng		N	9.4
score		tỷ_số			N	8.2
score		trận_đấu		N	2.7
sea		biển			N	9.5
sea		cá_mập			N	1.8
sea		muối			N	6.8
seat		chỗ_ngồi		N	8.9
seat		ghế_ngồi		N	7.99
seed		hạt_giống		N	9.1
seed		giống_cây		N	6.9
sense		giác_quan		N	9.3
sense		cảm_giác		N	2.1
sense		xúc_giác		N	6.8
sheet		cái_chăn		N	8.9
sheet		vỏ_chăn			N	7.6
shop		phòng_trưng_bày		N	7.99
shop		cửa_hàng		N	9.2		
sign		ký_hiệu			N	9.6
sign		dấu_hiệu		N	7.8
sign		hình_tròn		N	1.7
skill		kỹ_năng			N	9.1
skill		năng_khiếu		N	7.5
skill		phong_cách		N	1.0
sky		bầu_trời		N	9.7
sky		ngôi_sao		N	6.9
sky		vũ_trụ			N	2.2
soldier		quân_nhân		N	8.3
soldier		người_lính		N	9.0
soldier		công_an			N	4.4		
solution	giải_pháp		N	9.4	
solution	phương_án		N	8.5
song		bài_hát			N	9.8
song		ca_khúc			N	8.2
song		ca_nhạc			N	3.5
speed		tốc_độ			N	9.4
speed		vận_tốc			N	6.8
star		ngôi_sao		N	9.6
star		thiên_thạch		N	6.0
star		quả_khế			N	3.2
steam		hơi_nước		N	9.3
steam		không_khí		N	4.3	
store		cửa_hàng		N	9.4
store		phòng_chứa_đồ		N	6.9
story		câu_chuyện		N	9.2
story		cuộc_nói_chuyện		N	7.9
street		đường_phố		N	9.1
street		phố_phường		N	7.6		
substance	nội_dung		N	9.1
substance	ý_nghĩa			N	7.2
sun		mặt_trời		N	9.8
sun		nhật_thực		N	7.8
sun		ánh_nắng		N	5.9		473
gun		súng		N	9.2
gun		gươm		N	5.2
gun		hoa_hồng	N	1.1	
hospital	bệnh_viện	9.3
hospital	trường_học	3.5
hospital	công_viên	2.4
hospital	khách_sạn	3.1
hotel	khách_sạn	9.3
hotel	nhà_nghỉ	8.9
hotel	du_lịch		7.4
decision	quyết_định	9.2
decision	vấn_đề	5.8
decision	giải_pháp	6.5
police		cảnh_sát	8.9
police		công_an		9.1
police		công_nhân		3.1
politician	chính_trị_gia	8.5
politician	công_chức	6.2
politician	quan_chức	7.8
professor	giáo_sư		9.3
professor	chuyên_gia	7.5
professor	giáo_viên	7.8
professor	công_nhân	3.6
reader		độc_giả		9.2
reader		thính_giả	3.1
restaurant	nhà_hàng	8.5
rice		gạo		9.4
rice		ngũ_cốc		7.5
rice		ngô		5.2
freedom		tự_do		8.9
ocean		biển		8.5
ocean		đại_dương		9.1
ocean		hồ		4.2
husband		chồng	9.3
husband		chú_rể	8.2
husband		vợ		2.1
math	toán		9.5
math	đại_số		7.8
math	hình_học		7.1
math	phương_trình	6.7
